log_id,product,interactions_processed,avg_response_time_sec,ai_accuracy_percent,confidence_score_percent,compliance_score_percent,uptime_percent,log_date
AILOG00640,Sherpa AI,153,1.58,83.63,95.96,96.93,99.172,2026-04-10
AILOG00641,Voice Solution,304,3.19,85.38,84.15,92.84,98.534,2025-11-29
AILOG00642,Voice Solution,294,2.64,85.35,86.06,99.76,99.378,2026-07-13
AILOG00643,Voice Solution,133,3.17,89.38,83.78,96.19,99.847,2026-05-04
AILOG00644,Voice Solution,127,2.11,80.47,86.3,90.14,98.916,2026-06-12
AILOG00645,Voice Solution,162,2.39,90.37,83.46,98.22,98.966,2026-06-09
AILOG00646,Sherpa AI,76,1.12,94.7,90.43,96.33,99.953,2026-01-25
AILOG00647,Voice Solution,313,1.63,86.71,86.43,92.6,100.0,2026-01-05
AILOG00648,Sherpa AI,296,2.39,86.05,96.06,89.16,98.883,2026-02-22
AILOG00649,Voice Solution,70,2.01,97.85,92.01,97.59,100.0,2026-02-05
AILOG00650,Sherpa AI,442,1.87,95.62,90.27,99.18,99.509,2026-03-04
AILOG00651,Voice Solution,490,1.3,90.92,91.06,97.36,99.762,2026-04-05
AILOG00652,Sherpa AI,295,2.56,85.64,92.58,96.61,99.124,2026-02-18
AILOG00653,Voice Solution,253,2.55,91.63,94.77,95.67,99.429,2025-12-23
AILOG00654,Voice Solution,261,2.48,84.46,88.01,97.18,99.513,2026-04-23
AILOG00655,Sherpa AI,277,1.99,83.05,87.27,93.21,98.85,2026-04-16
AILOG00656,Voice Solution,256,1.81,91.03,91.66,88.56,100.0,2026-01-15
AILOG00657,Sherpa AI,51,2.53,86.85,96.28,96.28,99.28,2026-06-02
AILOG00658,Sherpa AI,386,2.41,79.9,84.55,95.18,99.05,2026-05-01
AILOG00659,Voice Solution,367,1.22,91.64,91.6,89.79,98.721,2025-12-15
AILOG00660,Voice Solution,267,2.01,95.57,95.16,87.42,99.581,2026-03-31
AILOG00661,Voice Solution,151,2.23,91.97,92.46,94.24,99.428,2026-02-25
AILOG00662,Sherpa AI,282,1.36,86.76,91.33,93.53,98.812,2026-03-02
AILOG00663,Voice Solution,278,2.39,79.37,92.16,93.28,99.37,2026-04-19
AILOG00664,Sherpa AI,300,2.27,89.66,97.21,95.74,99.544,2026-04-15
AILOG00665,Sherpa AI,387,1.53,86.04,93.18,91.76,99.103,2026-03-29
AILOG00666,Voice Solution,269,0.92,84.94,83.8,96.06,99.487,2026-01-13
AILOG00667,Sherpa AI,284,2.18,80.24,89.66,96.08,99.302,2026-03-29
AILOG00668,Voice Solution,234,3.08,97.45,90.35,86.02,99.19,2025-11-25
AILOG00669,Voice Solution,234,1.97,84.06,94.1,93.79,98.82,2025-12-31
AILOG00670,Sherpa AI,301,2.22,80.8,90.33,94.6,99.4,2025-12-24
AILOG00671,Voice Solution,339,1.04,96.63,90.06,96.24,98.263,2026-06-11
AILOG00672,Voice Solution,37,1.77,89.14,90.17,95.65,100.0,2026-06-07
AILOG00673,Sherpa AI,491,1.73,88.44,90.96,88.75,99.894,2026-04-19
AILOG00674,Sherpa AI,366,1.22,90.39,89.63,94.29,98.788,2026-05-08
AILOG00675,Voice Solution,21,2.09,90.96,88.32,93.22,98.581,2025-12-02
AILOG00676,Sherpa AI,20,2.06,89.96,89.41,97.22,99.885,2025-12-23
AILOG00677,Voice Solution,323,1.61,82.22,91.22,90.4,99.217,2026-03-19
AILOG00678,Sherpa AI,483,1.79,81.87,92.48,93.99,99.33,2025-12-17
AILOG00679,Sherpa AI,466,3.13,85.72,99.9,96.61,99.312,2026-01-29
AILOG00680,Voice Solution,382,1.4,86.7,84.68,96.28,98.643,2025-12-06
AILOG00681,Voice Solution,235,1.06,87.38,92.35,93.54,99.693,2026-06-13
AILOG00682,Sherpa AI,183,1.05,90.03,95.9,97.54,99.524,2025-12-12
AILOG00683,Sherpa AI,210,1.96,87.74,86.91,91.81,99.309,2026-06-16
AILOG00684,Voice Solution,94,0.25,85.94,92.74,96.2,98.166,2026-05-05
AILOG00685,Voice Solution,45,1.47,90.78,88.54,96.69,99.552,2026-06-23
AILOG00686,Voice Solution,281,1.17,92.21,87.93,89.9,99.489,2026-03-02
AILOG00687,Voice Solution,301,1.76,85.36,87.07,97.91,99.253,2026-02-25
AILOG00688,Sherpa AI,240,1.77,82.84,89.64,89.05,99.783,2025-12-09
AILOG00689,Voice Solution,62,2.02,89.81,89.49,95.12,99.864,2026-04-11
AILOG00690,Sherpa AI,141,2.2,87.11,93.01,92.59,99.468,2026-02-17
AILOG00691,Sherpa AI,148,2.54,92.76,84.22,97.04,98.544,2025-11-14
AILOG00692,Sherpa AI,284,1.57,84.57,93.4,94.99,98.667,2026-04-15
AILOG00693,Voice Solution,302,1.37,83.57,93.31,99.37,98.951,2026-02-20
AILOG00694,Sherpa AI,90,2.35,86.15,91.24,97.41,99.176,2026-06-22
AILOG00695,Sherpa AI,392,0.72,91.34,99.15,94.4,99.721,2026-05-21
AILOG00696,Voice Solution,393,2.29,87.42,94.93,97.62,99.465,2026-03-19
AILOG00697,Voice Solution,278,1.89,88.6,88.0,93.69,99.217,2026-04-15
AILOG00698,Sherpa AI,464,2.09,86.77,85.24,90.73,99.614,2026-04-18
AILOG00699,Voice Solution,220,2.04,93.57,87.25,92.63,98.912,2026-07-15
AILOG00700,Sherpa AI,149,1.89,91.17,87.68,93.66,99.613,2026-03-04
AILOG00701,Voice Solution,399,1.92,82.15,82.69,84.68,99.414,2025-12-08
AILOG00702,Voice Solution,349,1.08,93.06,91.98,98.15,99.562,2026-07-07
AILOG00703,Voice Solution,100,1.38,91.66,84.74,93.71,99.723,2026-06-25
AILOG00704,Voice Solution,273,2.96,93.88,90.93,96.89,99.276,2026-02-06
AILOG00705,Voice Solution,434,2.24,86.62,93.75,94.48,98.304,2025-12-30
AILOG00706,Voice Solution,84,2.49,84.77,95.6,89.38,98.97,2025-11-19
AILOG00707,Voice Solution,397,1.58,88.63,88.99,94.24,99.691,2026-03-04
AILOG00708,Voice Solution,165,1.85,89.73,87.13,93.64,99.018,2026-06-14
AILOG00709,Voice Solution,153,2.14,94.33,95.35,91.94,98.968,2026-02-08
AILOG00710,Sherpa AI,121,2.58,91.86,96.03,92.83,99.331,2025-11-17
AILOG00711,Voice Solution,61,1.7,89.67,92.73,94.08,99.847,2026-07-06
AILOG00712,Sherpa AI,386,2.11,88.43,87.23,86.64,99.529,2026-01-19
AILOG00713,Sherpa AI,215,2.26,89.07,84.73,95.08,100.0,2026-01-24
AILOG00714,Voice Solution,379,2.41,87.23,94.46,95.81,99.501,2025-11-29
AILOG00715,Voice Solution,279,1.67,92.06,89.75,95.5,99.481,2026-03-14
AILOG00716,Sherpa AI,118,2.63,82.47,94.96,93.16,99.183,2026-05-13
AILOG00717,Sherpa AI,407,0.88,89.04,87.34,99.89,98.524,2026-02-27
AILOG00718,Voice Solution,84,1.07,93.7,94.43,95.53,99.374,2026-05-10
AILOG00719,Sherpa AI,316,2.11,83.89,95.63,92.75,99.321,2026-04-02
AILOG00720,Voice Solution,446,2.1,97.75,89.03,90.28,99.632,2026-03-12
AILOG00721,Voice Solution,242,1.65,84.15,91.23,89.91,99.452,2025-11-08
AILOG00722,Voice Solution,264,1.51,86.73,85.36,95.2,99.435,2026-03-14
AILOG00723,Voice Solution,202,1.52,93.62,85.46,96.17,99.868,2026-05-11
AILOG00724,Sherpa AI,422,1.22,95.53,91.27,94.37,99.169,2026-01-30
AILOG00725,Sherpa AI,168,1.77,90.61,87.84,93.83,99.719,2026-07-07
AILOG00726,Sherpa AI,461,0.79,90.49,90.96,92.98,99.944,2026-07-10
AILOG00727,Voice Solution,433,2.54,97.05,90.66,95.48,99.023,2026-01-02
AILOG00728,Voice Solution,135,2.05,82.84,92.61,91.67,99.096,2026-06-04
AILOG00729,Voice Solution,410,2.64,81.24,92.12,93.94,98.916,2026-03-14
AILOG00730,Voice Solution,472,1.9,80.34,93.68,94.28,98.621,2026-02-15
AILOG00731,Voice Solution,339,1.78,85.17,90.91,95.73,100.0,2026-04-10
AILOG00732,Sherpa AI,277,1.88,85.78,91.23,91.55,100.0,2026-07-16
AILOG00733,Voice Solution,390,1.35,90.71,89.99,90.99,99.405,2025-11-16
AILOG00734,Sherpa AI,470,0.99,93.53,94.2,94.15,99.135,2025-12-29
AILOG00735,Sherpa AI,403,1.16,93.09,97.36,94.62,100.0,2025-11-09
AILOG00736,Sherpa AI,98,1.52,92.96,93.0,93.98,99.601,2026-05-16
AILOG00737,Sherpa AI,250,1.23,84.69,91.99,85.86,98.923,2026-02-25
AILOG00738,Voice Solution,376,2.68,90.73,89.13,95.0,98.861,2025-11-10
AILOG00739,Voice Solution,138,1.34,85.7,90.97,100.0,99.709,2025-11-07
AILOG00740,Sherpa AI,93,2.06,91.7,88.42,96.75,99.492,2026-05-13
AILOG00741,Sherpa AI,28,2.18,89.19,87.54,88.13,99.861,2026-03-03
AILOG00742,Voice Solution,298,2.6,92.98,89.22,92.78,99.652,2026-01-02
AILOG00743,Sherpa AI,289,2.24,99.69,97.16,93.41,98.69,2025-11-04
AILOG00744,Sherpa AI,73,1.69,88.85,89.66,93.04,98.913,2026-07-08
AILOG00745,Voice Solution,399,2.91,84.03,96.49,90.28,98.861,2026-03-10
AILOG00746,Voice Solution,64,0.99,81.66,86.11,91.32,99.409,2026-01-14
AILOG00747,Sherpa AI,244,1.19,84.96,90.56,96.8,99.238,2026-07-12
AILOG00748,Voice Solution,35,1.94,93.8,92.88,96.24,99.072,2026-04-16
AILOG00749,Voice Solution,231,1.86,91.18,93.09,93.67,99.145,2026-05-20
AILOG00750,Voice Solution,219,2.33,90.04,85.67,96.84,99.637,2026-04-17
AILOG00751,Sherpa AI,260,1.9,90.72,85.14,92.03,99.21,2025-12-21
AILOG00752,Sherpa AI,121,2.04,92.24,92.48,92.97,98.959,2025-12-26
AILOG00753,Voice Solution,114,2.45,81.99,87.79,92.91,98.647,2026-01-12
AILOG00754,Voice Solution,384,1.89,93.44,92.54,89.35,98.849,2026-01-27
AILOG00755,Voice Solution,204,2.24,90.75,95.74,93.23,99.834,2025-12-22
AILOG00756,Voice Solution,155,1.31,82.52,87.38,98.91,98.966,2026-03-05
AILOG00757,Voice Solution,44,1.35,90.51,87.91,98.59,100.0,2026-01-02
AILOG00758,Voice Solution,444,2.37,83.14,81.9,94.35,99.615,2025-12-06
AILOG00759,Voice Solution,337,1.88,91.3,93.2,93.34,98.892,2025-11-09
AILOG00760,Sherpa AI,352,1.91,89.54,98.52,99.31,98.994,2026-06-29
AILOG00761,Voice Solution,421,1.35,84.46,85.01,93.26,98.246,2026-01-29
AILOG00762,Voice Solution,69,1.53,90.86,94.98,92.44,99.08,2026-05-24
AILOG00763,Voice Solution,188,1.99,92.64,95.34,96.87,100.0,2026-05-30
AILOG00764,Sherpa AI,309,1.6,86.42,93.14,88.87,100.0,2026-05-26
AILOG00765,Voice Solution,119,1.24,92.52,87.58,93.67,100.0,2026-02-02
AILOG00766,Voice Solution,389,1.25,87.75,89.03,93.8,99.605,2026-05-18
AILOG00767,Sherpa AI,100,1.39,92.93,92.21,95.55,99.211,2026-04-18
AILOG00768,Sherpa AI,31,1.58,88.57,92.09,92.22,99.349,2026-06-15
AILOG00769,Sherpa AI,227,1.62,94.28,89.0,93.49,99.572,2025-11-04
AILOG00770,Voice Solution,96,2.82,84.89,91.84,94.28,99.292,2026-02-06
AILOG00771,Voice Solution,94,2.4,85.02,88.56,93.24,98.907,2026-05-12
AILOG00772,Sherpa AI,481,1.99,85.45,89.55,93.44,99.264,2026-06-12
AILOG00773,Voice Solution,189,3.01,89.57,89.19,96.5,98.624,2026-01-06
AILOG00774,Voice Solution,330,1.72,88.31,94.38,95.74,99.597,2026-03-18
AILOG00775,Sherpa AI,367,2.11,90.29,84.29,95.55,98.846,2026-06-27
AILOG00776,Sherpa AI,462,2.01,83.76,92.6,89.07,99.585,2025-11-04
AILOG00777,Sherpa AI,198,2.11,85.77,91.44,95.29,98.76,2026-02-10
AILOG00778,Sherpa AI,107,1.31,94.72,80.92,91.48,99.217,2025-12-14
AILOG00779,Sherpa AI,456,1.6,90.67,93.48,99.97,99.437,2026-02-27
AILOG00780,Sherpa AI,484,1.27,91.81,93.98,93.97,99.218,2026-05-07
AILOG00781,Voice Solution,284,2.06,87.85,88.38,93.41,99.62,2026-06-19
AILOG00782,Sherpa AI,241,1.8,90.33,91.94,98.56,99.524,2026-05-09
AILOG00783,Voice Solution,22,0.58,86.86,91.07,97.63,99.089,2026-02-18
AILOG00784,Sherpa AI,137,2.13,80.67,98.93,93.29,99.005,2026-02-14
AILOG00785,Voice Solution,155,1.94,93.66,92.01,90.47,98.969,2026-04-14
AILOG00786,Voice Solution,485,2.91,89.82,90.42,88.71,98.898,2026-03-06
AILOG00787,Sherpa AI,206,2.4,85.71,94.38,90.86,100.0,2026-02-06
AILOG00788,Voice Solution,49,2.52,89.01,96.43,94.96,98.985,2026-02-28
AILOG00789,Sherpa AI,86,1.07,86.9,98.29,93.56,99.846,2026-03-23
AILOG00790,Sherpa AI,330,2.53,95.74,87.61,91.19,99.382,2026-05-14
AILOG00791,Voice Solution,437,1.67,92.02,91.72,92.82,99.122,2026-03-10
AILOG00792,Voice Solution,398,1.35,83.83,87.52,99.15,99.397,2026-02-12
AILOG00793,Voice Solution,318,0.28,83.22,99.28,97.36,99.427,2026-02-01
AILOG00794,Sherpa AI,431,2.65,90.13,90.19,99.26,98.421,2026-06-10
AILOG00795,Voice Solution,440,1.62,89.6,93.83,91.93,99.261,2026-05-19
AILOG00796,Voice Solution,236,1.72,91.33,89.34,96.42,99.303,2026-07-16
AILOG00797,Voice Solution,177,2.01,88.36,92.0,96.11,99.135,2025-11-10
AILOG00798,Sherpa AI,90,3.01,86.09,82.78,98.41,98.239,2026-04-20
AILOG00799,Sherpa AI,337,1.65,91.29,94.16,94.03,99.134,2026-02-09
AILOG00800,Voice Solution,129,1.79,91.67,95.21,91.65,100.0,2026-02-18
AILOG00801,Sherpa AI,304,2.43,94.66,87.63,91.29,99.575,2026-07-05
AILOG00802,Sherpa AI,390,1.62,92.31,82.76,93.96,98.774,2026-07-02
AILOG00803,Sherpa AI,277,1.26,85.23,95.93,94.23,99.747,2025-11-23
AILOG00804,Voice Solution,109,0.38,90.15,95.42,94.82,98.746,2026-06-13
AILOG00805,Sherpa AI,380,2.67,87.71,93.16,89.81,99.434,2025-11-21
AILOG00806,Voice Solution,76,1.96,84.75,89.26,97.88,99.439,2026-02-28
AILOG00807,Sherpa AI,460,2.15,80.95,88.88,89.94,99.116,2026-02-28
AILOG00808,Sherpa AI,317,1.48,99.11,95.34,97.87,99.821,2026-05-17
AILOG00809,Sherpa AI,68,2.24,86.48,88.72,93.03,99.677,2026-03-16
AILOG00810,Voice Solution,204,1.42,88.43,90.63,99.54,98.912,2026-01-16
AILOG00811,Sherpa AI,218,1.91,89.99,89.98,88.76,99.155,2025-12-28
AILOG00812,Voice Solution,37,1.87,89.5,91.31,97.53,98.872,2026-01-25
AILOG00813,Voice Solution,217,2.53,77.65,89.57,90.91,99.013,2025-11-01
AILOG00814,Voice Solution,251,2.22,88.25,90.04,90.69,99.625,2026-01-16
AILOG00815,Sherpa AI,46,1.39,96.97,97.17,98.97,99.293,2025-11-10
AILOG00816,Voice Solution,137,2.19,88.05,92.1,96.26,99.815,2026-01-08
AILOG00817,Voice Solution,73,1.56,96.36,91.53,89.57,98.51,2026-03-28
AILOG00818,Voice Solution,171,1.27,89.14,93.29,94.61,99.438,2026-01-01
AILOG00819,Sherpa AI,244,2.16,87.42,85.52,98.21,99.716,2025-11-13
AILOG00820,Sherpa AI,498,1.93,89.65,94.07,95.68,99.351,2026-05-05
AILOG00821,Sherpa AI,181,1.02,89.17,91.21,94.09,98.619,2026-04-14
AILOG00822,Voice Solution,169,1.47,89.07,87.53,97.45,98.775,2025-11-10
AILOG00823,Sherpa AI,235,2.28,86.38,89.62,95.11,99.754,2026-07-17
AILOG00824,Sherpa AI,338,2.05,82.86,92.13,89.02,99.034,2026-04-11
AILOG00825,Sherpa AI,439,2.08,91.53,90.34,94.29,98.91,2026-05-15
AILOG00826,Sherpa AI,367,3.0,89.43,94.34,95.45,99.131,2025-12-04
AILOG00827,Sherpa AI,359,2.45,96.49,86.99,94.67,99.173,2026-04-09
AILOG00828,Sherpa AI,336,1.72,88.85,85.5,92.79,99.893,2026-01-24
AILOG00829,Voice Solution,357,1.54,82.19,86.95,95.37,98.427,2025-12-28
AILOG00830,Voice Solution,61,1.36,90.45,88.36,94.55,99.588,2025-11-25
AILOG00831,Sherpa AI,371,1.5,89.34,90.54,88.02,100.0,2025-12-06
AILOG00832,Sherpa AI,180,0.76,87.06,88.67,90.02,99.773,2026-02-22
AILOG00833,Sherpa AI,93,1.01,91.78,85.25,94.93,100.0,2026-02-13
AILOG00834,Voice Solution,412,2.23,91.24,84.59,96.24,99.071,2026-02-01
AILOG00835,Voice Solution,394,2.8,83.61,84.89,91.67,99.746,2026-01-28
AILOG00836,Sherpa AI,44,1.84,86.89,88.85,96.21,99.257,2026-04-12
AILOG00837,Sherpa AI,416,1.34,93.92,86.76,95.5,99.041,2025-12-08
AILOG00838,Sherpa AI,322,0.25,84.59,88.46,93.43,98.19,2026-01-31
AILOG00839,Voice Solution,261,2.91,88.22,95.31,95.28,99.068,2026-02-27
AILOG00840,Voice Solution,397,0.93,90.02,85.32,95.21,99.833,2026-05-30
AILOG00841,Voice Solution,192,0.84,83.81,91.2,96.63,98.442,2026-04-09
AILOG00842,Voice Solution,408,1.61,88.56,85.26,96.77,100.0,2026-02-09
AILOG00843,Voice Solution,306,1.77,88.41,84.66,90.87,99.505,2026-04-28
AILOG00844,Sherpa AI,178,1.81,87.54,91.49,91.8,98.747,2025-11-23
AILOG00845,Sherpa AI,373,1.24,82.11,92.7,98.43,99.414,2025-12-02
AILOG00846,Voice Solution,237,2.07,89.0,93.16,96.65,99.643,2026-03-18
AILOG00847,Sherpa AI,474,1.46,86.22,94.44,95.92,99.056,2026-01-20
AILOG00848,Sherpa AI,444,1.48,93.8,89.29,96.38,98.988,2026-05-14
AILOG00849,Sherpa AI,134,1.62,90.87,91.1,97.41,100.0,2026-02-01
AILOG00850,Sherpa AI,449,1.36,85.5,88.46,94.4,99.13,2025-12-16
AILOG00851,Voice Solution,260,0.98,87.22,95.17,92.86,99.228,2025-11-27
AILOG00852,Voice Solution,327,1.03,89.56,86.35,95.68,99.962,2026-04-11
AILOG00853,Voice Solution,231,1.08,87.21,92.0,93.92,99.264,2026-02-09
AILOG00854,Sherpa AI,382,2.1,82.18,85.74,98.65,99.682,2026-05-06
AILOG00855,Sherpa AI,105,2.06,90.32,90.44,98.6,99.064,2026-05-13
AILOG00856,Voice Solution,152,1.63,91.37,83.57,96.67,98.951,2026-04-07
AILOG00857,Sherpa AI,287,1.66,92.33,90.91,90.17,99.49,2025-11-09
AILOG00858,Voice Solution,296,2.56,93.22,97.9,90.71,98.81,2026-05-31
AILOG00859,Sherpa AI,284,2.13,85.27,87.77,90.05,99.504,2026-04-16
AILOG00860,Voice Solution,112,2.82,92.53,89.03,94.56,98.841,2026-02-19
AILOG00861,Voice Solution,110,1.42,83.86,93.47,96.77,99.499,2026-05-22
AILOG00862,Voice Solution,164,1.04,90.61,90.18,93.08,99.918,2026-07-06
AILOG00863,Voice Solution,379,2.45,85.81,94.89,92.06,98.303,2026-01-04
AILOG00864,Sherpa AI,171,1.79,90.88,91.57,94.31,99.094,2026-05-22
AILOG00865,Voice Solution,174,1.28,82.21,93.5,91.65,98.32,2026-04-10
AILOG00866,Sherpa AI,155,2.12,91.44,82.09,94.8,99.153,2026-03-13
AILOG00867,Voice Solution,272,1.34,85.46,90.37,93.27,99.468,2026-04-27
AILOG00868,Voice Solution,447,2.25,91.17,85.57,92.03,99.13,2026-05-12
AILOG00869,Sherpa AI,337,2.12,90.68,88.42,94.35,98.23,2025-12-30
AILOG00870,Sherpa AI,48,1.65,90.73,91.73,96.66,99.749,2026-05-24
AILOG00871,Voice Solution,102,0.7,89.21,89.08,89.44,98.57,2026-04-04
AILOG00872,Sherpa AI,349,1.2,83.75,86.86,94.5,99.718,2026-01-11
AILOG00873,Sherpa AI,427,2.79,95.71,95.02,87.7,98.927,2026-04-05
AILOG00874,Voice Solution,53,2.93,88.42,94.03,93.24,98.865,2026-04-22
AILOG00875,Sherpa AI,335,3.49,88.4,84.51,96.09,99.305,2026-01-01
AILOG00876,Voice Solution,123,2.06,95.23,93.05,97.07,99.833,2026-05-24
AILOG00877,Voice Solution,434,1.09,85.0,90.68,92.43,100.0,2025-12-30
AILOG00878,Sherpa AI,390,2.67,88.79,90.94,92.39,99.095,2026-01-25
AILOG00879,Voice Solution,407,1.63,89.76,96.22,93.31,98.649,2026-03-23
AILOG00880,Voice Solution,252,1.36,87.96,90.62,90.69,99.473,2025-11-07
AILOG00881,Voice Solution,256,2.02,90.23,92.86,94.49,98.63,2026-04-28
AILOG00882,Sherpa AI,242,3.03,86.38,90.86,90.99,99.672,2026-06-15
AILOG00883,Sherpa AI,412,1.73,88.69,90.88,95.67,99.522,2025-11-07
AILOG00884,Voice Solution,109,1.81,89.59,86.3,91.85,99.977,2026-03-20
AILOG00885,Sherpa AI,352,0.8,95.15,99.82,93.04,99.827,2025-11-14
AILOG00886,Voice Solution,396,1.87,96.45,77.7,95.5,99.37,2025-12-04
AILOG00887,Sherpa AI,259,2.23,89.76,87.1,95.91,99.316,2026-06-28
AILOG00888,Sherpa AI,237,1.74,94.4,88.04,95.77,98.856,2026-02-05
AILOG00889,Sherpa AI,201,1.79,85.74,93.63,94.79,98.846,2026-03-06
AILOG00890,Voice Solution,276,1.95,99.13,84.36,90.74,99.279,2025-12-04
AILOG00891,Sherpa AI,251,1.12,87.9,89.3,93.91,98.761,2025-11-18
AILOG00892,Voice Solution,208,0.32,88.85,93.15,93.48,99.166,2026-01-07
AILOG00893,Sherpa AI,348,1.73,91.39,85.13,92.74,99.065,2026-06-25
AILOG00894,Voice Solution,434,1.65,92.84,89.45,94.22,99.596,2026-01-19
AILOG00895,Voice Solution,363,2.17,88.23,89.33,91.41,99.289,2026-01-25
AILOG00896,Voice Solution,274,3.36,79.96,87.61,93.9,99.797,2025-12-30
AILOG00897,Voice Solution,64,2.64,91.95,90.15,93.1,99.149,2025-12-18
AILOG00898,Sherpa AI,335,0.46,84.9,88.3,92.63,98.715,2026-04-28
AILOG00899,Sherpa AI,105,3.44,92.48,93.87,90.65,99.575,2026-01-23
AILOG00900,Voice Solution,220,2.23,92.39,92.12,90.57,99.238,2026-02-03
AILOG00901,Voice Solution,378,1.63,89.87,89.26,98.03,99.165,2026-07-10
AILOG00902,Voice Solution,362,2.76,93.07,90.26,94.34,99.089,2026-04-29
AILOG00903,Sherpa AI,231,0.25,86.79,88.44,99.44,99.294,2026-01-23
AILOG00904,Voice Solution,138,1.45,95.19,95.35,99.59,99.165,2026-03-30
AILOG00905,Voice Solution,317,1.93,89.73,91.81,97.69,99.558,2025-12-09
AILOG00906,Voice Solution,488,1.84,88.17,89.44,90.15,99.67,2026-02-21
AILOG00907,Sherpa AI,174,2.78,94.14,91.75,98.23,99.115,2026-03-07
AILOG00908,Voice Solution,205,2.57,86.01,97.56,93.62,100.0,2025-12-11
AILOG00909,Voice Solution,216,2.24,79.53,87.26,93.17,99.015,2026-04-07
AILOG00910,Sherpa AI,356,1.62,83.39,93.54,92.74,99.309,2026-05-25
AILOG00911,Voice Solution,220,2.42,95.46,91.66,92.95,98.489,2025-12-17
AILOG00912,Voice Solution,437,1.41,90.12,89.14,95.2,99.248,2026-05-04
AILOG00913,Voice Solution,285,2.3,89.77,87.08,100.0,99.198,2026-01-11
AILOG00914,Sherpa AI,398,1.33,93.1,93.44,89.08,99.275,2025-12-27
AILOG00915,Voice Solution,255,1.99,90.33,91.16,99.83,99.788,2026-06-27
AILOG00916,Voice Solution,213,0.85,87.76,95.78,98.53,100.0,2026-01-01
AILOG00917,Voice Solution,386,2.47,87.03,94.67,93.47,99.854,2025-12-27
AILOG00918,Sherpa AI,44,1.51,83.71,91.2,92.51,99.249,2026-07-01
AILOG00919,Voice Solution,278,0.91,84.2,87.11,89.96,99.398,2026-03-04
AILOG00920,Sherpa AI,437,1.17,89.79,98.22,91.28,100.0,2026-04-02
AILOG00921,Sherpa AI,90,1.6,88.3,87.52,92.18,98.799,2026-07-13
AILOG00922,Sherpa AI,47,1.21,91.2,93.32,93.69,99.692,2026-06-05
AILOG00923,Sherpa AI,412,2.27,88.61,82.91,93.91,98.856,2026-06-20
AILOG00924,Voice Solution,30,1.62,84.21,96.28,96.28,99.872,2025-11-17
AILOG00925,Voice Solution,368,2.41,90.11,81.86,95.95,99.233,2026-01-19
AILOG00926,Voice Solution,137,1.62,89.84,88.75,94.72,98.86,2026-04-25
AILOG00927,Sherpa AI,399,2.27,89.08,85.75,93.87,98.971,2025-12-09
AILOG00928,Sherpa AI,227,1.81,89.71,95.58,97.43,99.051,2026-03-23
AILOG00929,Sherpa AI,442,1.63,97.85,87.03,96.52,99.776,2025-11-17
AILOG00930,Voice Solution,112,1.12,83.64,92.12,95.33,99.97,2026-07-07
AILOG00931,Sherpa AI,160,1.84,84.69,91.07,92.78,99.099,2025-12-05
AILOG00932,Sherpa AI,374,2.28,81.34,84.22,97.32,98.864,2026-03-26
AILOG00933,Sherpa AI,30,1.35,89.42,94.12,96.5,100.0,2026-06-03
AILOG00934,Sherpa AI,310,1.79,80.29,89.94,93.26,99.71,2026-04-14
AILOG00935,Sherpa AI,258,1.44,90.01,96.03,88.25,98.912,2026-02-19
AILOG00936,Voice Solution,283,3.06,88.75,92.45,94.29,99.48,2026-03-15
AILOG00937,Voice Solution,282,2.0,86.42,86.96,91.92,99.094,2026-01-13
AILOG00938,Voice Solution,88,1.86,91.12,89.2,96.15,98.657,2026-04-05
AILOG00939,Voice Solution,89,1.48,90.33,89.08,94.65,99.145,2026-06-03
AILOG00940,Voice Solution,204,2.37,96.22,93.11,88.98,98.615,2026-03-28
AILOG00941,Sherpa AI,390,1.8,91.76,92.98,94.88,99.06,2025-12-01
AILOG00942,Sherpa AI,143,1.76,88.72,87.31,99.15,99.107,2025-11-14
AILOG00943,Voice Solution,438,1.75,78.73,93.79,93.54,99.03,2025-11-23
AILOG00944,Voice Solution,241,1.08,93.18,91.63,93.97,99.755,2025-11-02
AILOG00945,Voice Solution,30,2.77,93.22,92.68,92.97,99.502,2026-04-27
AILOG00946,Voice Solution,185,2.4,94.96,92.07,94.22,98.98,2025-12-29
AILOG00947,Voice Solution,110,1.81,78.71,93.32,98.62,99.461,2026-04-25
AILOG00948,Sherpa AI,267,1.73,89.92,86.27,97.17,99.953,2026-04-21
AILOG00949,Voice Solution,360,1.23,91.96,90.76,92.27,98.885,2026-01-22
AILOG00950,Voice Solution,481,0.84,94.41,94.03,93.78,98.643,2026-06-11
AILOG00951,Voice Solution,324,1.23,91.71,94.46,93.98,98.758,2025-12-05
AILOG00952,Sherpa AI,310,2.54,89.27,94.46,95.23,99.488,2026-02-18
AILOG00953,Sherpa AI,176,1.55,84.42,86.46,95.29,100.0,2026-06-23
AILOG00954,Voice Solution,107,2.5,88.47,98.31,93.71,99.724,2025-12-09
AILOG00955,Sherpa AI,247,1.78,90.75,97.06,90.27,99.942,2026-06-07
AILOG00956,Sherpa AI,444,1.24,92.52,86.54,93.66,98.2,2026-06-05
AILOG00957,Voice Solution,384,1.32,81.86,88.8,92.91,98.883,2026-05-13
AILOG00958,Voice Solution,499,1.96,90.33,92.74,91.31,98.741,2026-04-12
AILOG00959,Voice Solution,153,0.75,82.37,87.11,96.37,99.579,2026-02-24
